"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"200319","Paul Kissack","SCS4","Permanent Secretary","Permanent Secretary","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","MINISTERIAL, GROWTH AND RESILIENCE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","XX","895716","1.00","180000","180000","","Missing Data","YORKSHIRE AND THE HUMBER","","1"
"200033","Lucy Smith","SCS3","SIFFG Office","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","STRATEGY AND WATER DG OFFICES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200319","0","1.00","150000","150000","","Missing Data","LONDON","","1"
"200307","Kate Davies","SCS3","ERG Office","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENT DG OFFICE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200206","0","1.00","130000","130000","","Missing Data","LONDON","","1"
"200007","Sarah Homer","SCS3","COODG Office","Unknown","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","COOD DG OFFICE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200319","6368272","1.00","170000","170000","","Operational Delivery","WEST MIDLANDS","","1"
"200202","David Hill","SCS3","DEF STRATEGY DG OFFICE","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","STRATEGY AND WATER DG OFFICES DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200319","593205","1.00","150000","150000","","Missing Data","LONDON","","1"
"200206","Sara Randall","SCS3","ERG Office","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ENVIRONMENT DG OFFICE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200319","1213067","1.00","130000","130000","","Policy","LONDON","","1"
"200268","Emily Miles","SCS3","DEF FFAPH OFFICE","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","FOOD BIOSECURITY AND TRADE DG OFFICE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200319","1144916","1.00","140000","140000","","Missing Data","LONDON","","1"
"200297","Anjali Goswami","SCS3","DEF SCIENCE AND ANALYSIS DG OFFICE","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","SCIENCE, DATA AND ANALYSIS DG OFFICE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200319","2823626","0.81","145000","145000","","Missing Data","LONDON","","1"
"200006","Rachel Irving","SCS2","DEF SPS, TBT, ANIMAL WELFARE, GIS AND ENVIRONMENT TEAM","Missing Data","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","EU AND INTERNATIONAL TRADE DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200268","0","1.00","100000","100000","","Missing Data","LONDON","","1"
"200117","Christine Middlemiss","SCS2","CVO Office","No Function","Department for Environment Food & Rural Affairs","Department for Environment, Food and Rural Affairs","ANIMAL AND PLANT HEALTH DIRECTORATE","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","200268","0","1.00","140000","140000","","Veterinary","LONDON","","1"
